symbol,name,date,isEnabled,type,iexId
ALSK,Alaska Communications Systems Group Inc.,2019-03-26,true,cs,261
ALSN,Allison Transmission Holdings Inc.,2019-03-26,true,cs,262
ALT,Altimmune Inc.,2019-03-26,true,cs,5433
ALTM,Altus Midstream Company,2019-03-26,true,cs,12823
ALTR,Altair Engineering Inc.,2019-03-26,true,cs,13622
ALTS,ProShares Morningstar Alternatives Solution,2019-03-26,true,N/A,9353
ALTY,Global X SuperDividend Alternatives ETF,2019-03-26,true,N/A,10294
ALV,Autoliv Inc.,2019-03-26,true,cs,268
ALX,Alexander's Inc.,2019-03-26,true,cs,270
ALXN,Alexion Pharmaceuticals Inc.,2019-03-26,true,cs,272
ALYA,Alithya Group inc.,2019-03-26,true,cs,15197
AM,Antero Midstream Corporation,2019-03-26,true,cs,12806
AMAG,AMAG Pharmaceuticals Inc.,2019-03-26,true,cs,274
AMAL,Amalgamated Bank,2019-03-26,true,cs,14911
AMAT,Applied Materials Inc.,2019-03-26,true,cs,276
AMBA,Ambarella Inc.,2019-03-26,true,cs,277
AMBC,Ambac Financial Group Inc.,2019-03-26,true,cs,278
AMBCW,Ambac Financial Group Inc. Warrants,2019-03-26,true,N/A,7913
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A,2019-03-26,true,cs,280
AMBR,Amber Road Inc.,2019-03-26,true,cs,8303
AMC,AMC Entertainment Holdings Inc. Class A,2019-03-26,true,cs,7817
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,2019-03-26,true,N/A,13234
AMCI,AMCI Acquisition Corp.,2019-03-26,true,cs,15181
AMCIU,AMCI Acquisition Corp. Unit,2019-03-26,true,su,15176
AMCIW,AMCI Acquisition Corp. Warrant,2019-03-26,true,N/A,15337
AMCN,AirMedia Group Inc,2019-03-26,true,cs,284
AMCX,AMC Networks Inc.,2019-03-26,true,cs,286
AMD,Advanced Micro Devices Inc.,2019-03-26,true,cs,287
AME,AMETEK Inc.,2019-03-26,true,cs,288
AMED,Amedisys Inc,2019-03-26,true,cs,289
AMEH,Apollo Medical Holdings Inc.,2019-03-26,true,cs,10065
AMG,Affiliated Managers Group Inc.,2019-03-26,true,cs,290
AMGN,Amgen Inc.,2019-03-26,true,cs,291
AMH,American Homes 4 Rent of Beneficial Interest,2019-03-26,true,cs,292
AMH-D,American Homes 4 Rent 6.5% Series D Cumulative Perpetual Preferred Shares of Beneficial Interest,2019-03-26,true,ps,11410
AMH-E,American Homes 4 Rent 6.35% Series E Cumulative Redeemable Perpetual Preferred Shares of Beneficial Interest,2019-03-26,true,ps,11558
AMH-F,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares,2019-03-26,true,ps,12831
AMH-G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,2019-03-26,true,ps,13160
AMH-H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,2019-03-26,true,ps,15069
AMID,American Midstream Partners LP representing Limited Partner Interests,2019-03-26,true,cs,294
AMJ,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,2019-03-26,true,et,295
AMJL,Credit Suisse X-Links Monthly Pay 2xLeveraged Alerian MLP Index Exchange Traded Notes due May 16 2036,2019-03-26,true,N/A,11385
AMKR,Amkor Technology Inc.,2019-03-26,true,cs,296
AMLP,Alerian MLP,2019-03-26,true,et,297
AMN,AMN Healthcare Services Inc,2019-03-26,true,cs,192
AMNB,American National Bankshares Inc.,2019-03-26,true,cs,298
AMOT,Allied Motion Technologies Inc.,2019-03-26,true,cs,299
AMOV,America Movil S.A.B. de C.V. Class An Depositary Shares,2019-03-26,true,cs,300
AMP,Ameriprise Financial Inc.,2019-03-26,true,cs,301
AMPE,Ampio Pharmaceuticals Inc.,2019-03-26,true,cs,303
AMPH,Amphastar Pharmaceuticals Inc.,2019-03-26,true,cs,8866
AMR,Alta Mesa Resources Inc.,2019-03-26,true,cs,12836
AMRB,American River Bankshares,2019-03-26,true,cs,305
AMRC,Ameresco Inc. Class A,2019-03-26,true,cs,306
AMRH,Ameri Holdings Inc.,2019-03-26,true,cs,13805
AMRHW,Ameri Holdings Inc. Warrant,2019-03-26,true,N/A,13762
AMRK,A-Mark Precious Metals Inc.,2019-03-26,true,cs,8339
AMRN,Amarin Corporation plc,2019-03-26,true,cs,309
AMRS,Amyris Inc.,2019-03-26,true,cs,310
AMRWW,Alta Mesa Resources Inc. Warrant,2019-03-26,true,N/A,12852
AMRX,Amneal Pharmaceuticals Inc. Class A,2019-03-26,true,cs,13988
AMS,American Shared Hospital Services,2019-03-26,true,cs,311
AMSC,American Superconductor Corporation,2019-03-26,true,cs,312
AMSF,AMERISAFE Inc.,2019-03-26,true,cs,313
AMSWA,American Software Inc. Class A Common Stock,2019-03-26,true,cs,315
AMT,American Tower Corporation (REIT),2019-03-26,true,cs,316
AMTB,Mercantil Bank Holding Corporation,2019-03-26,true,cs,14919
AMTBB,Mercantil Bank Holding Corporation Class B Common Stock,2019-03-26,true,cs,14920
AMTD,TD Ameritrade Holding Corporation,2019-03-26,true,cs,317
AMTX,Aemetis Inc,2019-03-26,true,cs,8700
AMU,ETRACS Alerian MLP Index ETN,2019-03-26,true,N/A,320
AMUB,ETRACS Alerian MLP Index ETN Series B due July 18 2042,2019-03-26,true,N/A,10675
AMWD,American Woodmark Corporation,2019-03-26,true,cs,321
AMX,America Movil S.A.B. de C.V.n Depository Receipt Series L,2019-03-26,true,cs,322
AMZA,InfraCap MLP,2019-03-26,true,N/A,9338
AMZN,Amazon.com Inc.,2019-03-26,true,cs,323
AN,AutoNation Inc.,2019-03-26,true,cs,324
ANAB,AnaptysBio Inc.,2019-03-26,true,cs,10495
